Project Name,Package Name,Architecture Smell,Cause of the Smell
4.0.2,org.apache.http.examples.client,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientAbortMethod]; [ClientAuthentication]; [ClientChunkEncodedPost]; [ClientConnectionRelease]; [ClientCustomContext]; [ClientCustomSSL]; [ClientEvictExpiredConnections; IdleConnectionEvictor]; [ClientExecuteDirect]; [ClientExecuteProxy]; [ClientFormLogin]; [ClientGZipContentCompression; GzipDecompressingEntity]; [ClientInteractiveAuthentication]; [ClientMultiThreadedExecution; GetThread]; [ClientPreemptiveBasicAuthentication; PreemptiveAuth; ClientPreemptiveDigestAuthentication; PersistentDigest]; [PreemptiveAuth]; [ClientProxyAuthentication]; [ClientWithResponseHandler]. LCC (Lack of Component Cohesion) = 0.74
4.0.2,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.07. All the dependencies among components: from: org.apache.http.examples.client to: org.apache.http.client; from: org.apache.http.examples.client to: org.apache.http.client.methods; from: org.apache.http.examples.client to: org.apache.http.impl.client; from: org.apache.http.examples.client to: org.apache.http.client.protocol; from: org.apache.http.examples.client to: org.apache.http.conn.ssl; from: org.apache.http.examples.client to: org.apache.http.conn.scheme; from: org.apache.http.examples.client to: org.apache.http.conn; from: org.apache.http.examples.client to: org.apache.http.conn.params; from: org.apache.http.examples.client to: org.apache.http.auth; from: org.apache.http.examples.client to: org.apache.http.impl.auth; from: org.apache.http.examples.conn to: org.apache.http.conn.scheme; from: org.apache.http.examples.conn to: org.apache.http.conn; from: org.apache.http.examples.conn to: org.apache.http.conn.routing; from: org.apache.http.examples.conn to: org.apache.http.conn.ssl; from: org.apache.http.client to: org.apache.http.cookie; from: org.apache.http.client to: org.apache.http.auth; from: org.apache.http.client to: org.apache.http.client.methods; from: org.apache.http.client.entity to: org.apache.http.client.utils; from: org.apache.http.client.methods to: org.apache.http.conn; from: org.apache.http.client.methods to: org.apache.http.client.utils; from: org.apache.http.client.params to: org.apache.http.conn; from: org.apache.http.client.protocol to: org.apache.http.cookie; from: org.apache.http.client.protocol to: org.apache.http.auth; from: org.apache.http.client.protocol to: org.apache.http.client; from: org.apache.http.client.protocol to: org.apache.http.conn; from: org.apache.http.client.protocol to: org.apache.http.conn.scheme; from: org.apache.http.client.protocol to: org.apache.http.client.params; from: org.apache.http.client.protocol to: org.apache.http.conn.routing; from: org.apache.http.client.protocol to: org.apache.http.impl.client; from: org.apache.http.client.protocol to: org.apache.http.client.methods; from: org.apache.http.client.protocol to: org.apache.http.impl.cookie; from: org.apache.http.conn to: org.apache.http.conn.routing; from: org.apache.http.conn to: org.apache.http.conn.scheme; from: org.apache.http.conn to: org.apache.http.impl.conn.tsccm; from: org.apache.http.conn to: org.apache.http.impl.client; from: org.apache.http.conn to: org.apache.http.client.methods; from: org.apache.http.conn to: org.apache.http.conn.params; from: org.apache.http.conn to: org.apache.http.localserver; from: org.apache.http.conn to: org.apache.http.client; from: org.apache.http.conn to: org.apache.http.mockup; from: org.apache.http.conn.params to: org.apache.http.conn.routing; from: org.apache.http.conn.ssl to: org.apache.http.conn.util; from: org.apache.http.conn.ssl to: org.apache.http.conn.scheme; from: org.apache.http.conn.ssl to: org.apache.http.localserver; from: org.apache.http.conn.ssl to: org.apache.http.impl.client; from: org.apache.http.conn.ssl to: org.apache.http.client.methods; from: org.apache.http.cookie to: org.apache.http.impl.cookie; from: org.apache.http.impl.auth to: org.apache.http.auth; from: org.apache.http.impl.auth to: org.apache.http.auth.params; from: org.apache.http.impl.client to: org.apache.http.auth; from: org.apache.http.impl.client to: org.apache.http.client.protocol; from: org.apache.http.impl.client to: org.apache.http.conn; from: org.apache.http.impl.client to: org.apache.http.cookie; from: org.apache.http.impl.client to: org.apache.http.client; from: org.apache.http.impl.client to: org.apache.http.conn.routing; from: org.apache.http.impl.client to: org.apache.http.client.methods; from: org.apache.http.impl.client to: org.apache.http.conn.scheme; from: org.apache.http.impl.client to: org.apache.http.client.params; from: org.apache.http.impl.client to: org.apache.http.conn.ssl; from: org.apache.http.impl.client to: org.apache.http.client.utils; from: org.apache.http.impl.client to: org.apache.http.conn.params; from: org.apache.http.impl.client to: org.apache.http.impl.cookie; from: org.apache.http.impl.client to: org.apache.http.impl.conn; from: org.apache.http.impl.client to: org.apache.http.impl.conn.tsccm; from: org.apache.http.impl.conn to: org.apache.http.conn; from: org.apache.http.impl.conn to: org.apache.http.conn.routing; from: org.apache.http.impl.conn to: org.apache.http.conn.scheme; from: org.apache.http.impl.conn to: org.apache.http.conn.params; from: org.apache.http.impl.conn to: org.apache.http.client; from: org.apache.http.impl.conn to: org.apache.http.client.methods; from: org.apache.http.impl.conn to: org.apache.http.impl.conn.tsccm; from: org.apache.http.impl.conn to: org.apache.http.impl.client; from: org.apache.http.impl.conn.tsccm to: org.apache.http.impl.conn; from: org.apache.http.impl.conn.tsccm to: org.apache.http.conn.routing; from: org.apache.http.impl.conn.tsccm to: org.apache.http.conn; from: org.apache.http.impl.conn.tsccm to: org.apache.http.conn.params; from: org.apache.http.impl.conn.tsccm to: org.apache.http.conn.scheme; from: org.apache.http.impl.cookie to: org.apache.http.cookie; from: org.apache.http.impl.cookie to: org.apache.http.cookie.params; from: org.apache.http.impl.cookie to: org.apache.http.client.utils; from: org.apache.http.localserver to: org.apache.http.auth; from: org.apache.http.localserver to: org.apache.http.conn.scheme; from: org.apache.http.mockup to: org.apache.http.conn.scheme; from: org.apache.http.client.benchmark to: org.apache.http.impl.client; from: org.apache.http.client.benchmark to: org.apache.http.client.methods; from: org.apache.http.examples.entity.mime to: org.apache.http.client; from: org.apache.http.examples.entity.mime to: org.apache.http.client.methods; from: org.apache.http.examples.entity.mime to: org.apache.http.entity.mime.content; from: org.apache.http.examples.entity.mime to: org.apache.http.entity.mime; from: org.apache.http.entity.mime.content to: org.apache.http.entity.mime; from: org.apache.http.entity.mime to: org.apache.http.entity.mime.content.
4.0.2,org.apache.http.auth,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AUTH]; [AuthenticationException; InvalidCredentialsException]; [AuthScheme; AuthState; Credentials; NTCredentials; NTUserPrincipal; UsernamePasswordCredentials; TestCredentials; AuthScope; BasicUserPrincipal]; [AuthSchemeFactory; AuthSchemeRegistry]; [MalformedChallengeException]. LCC (Lack of Component Cohesion) = 0.33
4.0.2,org.apache.http.client,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthenticationHandler]; [CircularRedirectException; RedirectException]; [ClientProtocolException; HttpResponseException]; [CookieStore]; [CredentialsProvider]; [HttpClient; ResponseHandler]; [HttpRequestRetryHandler]; [NonRepeatableRequestException]; [RedirectHandler]; [RequestDirector]; [UserTokenHandler]. LCC (Lack of Component Cohesion) = 0.79
4.0.2,org.apache.http.client.methods,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.http.conn
4.0.2,org.apache.http.client.params,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.http.conn
4.0.2,org.apache.http.client.params,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllClientPNames; ClientPNames; HttpClientParams; ClientParamBean; CookiePolicy]; [AuthPolicy]. LCC (Lack of Component Cohesion) = 0.33
4.0.2,org.apache.http.client.protocol,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.http.impl.client; org.apache.http.impl.cookie
4.0.2,org.apache.http.client.protocol,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientContext; ClientContextConfigurer; RequestAddCookies; RequestProxyAuthentication; RequestTargetAuthentication; ResponseProcessCookies; TestCookie2Support; CookieVer0Service; CookieVer1Service; CookieVer2Service; SetCookieVersionMixService]; [RequestClientConnControl]; [RequestDefaultHeaders]; [TestRedirects; BasicRedirectService; CircularRedirectService; RelativeRedirectService; RelativeRedirectService2; BogusRedirectService]; [TestUriEscapes; UriListeningService]. LCC (Lack of Component Cohesion) = 0.24
4.0.2,org.apache.http.client.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CloneUtils]; [Idn; JdkIdn; Punycode; Rfc3492Idn; TestRfc3492Idn]; [URIUtils; TestURIUtils]; [URLEncodedUtils; TestURLEncodedUtils]. LCC (Lack of Component Cohesion) = 0.4
